Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,University,34.416929,-119.845991,https://en.wikipedia.org/wiki/University_of_California,https://www.history.ucsb.edu/wp-content/uploads/La
Crazy Horse Memorial,Monument,43.836568,-103.623416,https://en.wikipedia.org/wiki/Crazy_Horse_Memorial,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.thevintagenews.com%2Fwp-content%2Fuploads%2F2017%2F12%2F2uumow0w.jpg&imgrefurl=https%3A%2F%2Fwww.thevintagenews.com%2F2017%2F12%2F10%2Fcrazy-horse-monument%2F&docid=x38VdDOOvNtcXM&tbnid=R1TKPs3h8J2xFM%3A&vet=10ahUKEwiamvW9kfrlAhVEnp4KHRH9DdgQMwiFASgQMBA..i&w=800&h=450&bih=858&biw=1680&q=crazy%20horse%20memorial&ved=0ahUKEwiamvW9kfrlAhVEnp4KHRH9DdgQMwiFASgQMBA&iact=mrc&uact=8
Yankee Stadium,Stadium,40.825629,-73.930238,https://en.wikipedia.org/wiki/Yankee_Stadium,https://www.google.com/imgres?imgurl=https%3A%2F%2Fsportshub.cbsistatic.com%2Fi%2Fr%2F2018%2F10%2F03%2F7d1f8b1d-481b-4216-a4b2-ef9a1d1f88b0%2Fthumbnail%2F1200x675%2Ff666acb1a42decb25342fc311a1104fd%2Fyankees-stadium-2018-al-wild-card-game.jpg&imgrefurl=https%3A%2F%2Fwww.cbssports.com%2Fmlb%2Fnews%2Flook-a-swarm-of-bees-invades-yankee-stadium-and-is-safely-removed-by-nypd-bee-team%2F&docid=v-anHgDvhGKddM&tbnid=UMXNM-87yDS7-M%3A&vet=10ahUKEwj8-62mkvrlAhWIlp4KHZQnBasQMwiHASgOMA4..i&w=1200&h=675&bih=858&biw=1680&q=yankee%20stadium&ved=0ahUKEwj8-62mkvrlAhWIlp4KHZQnBasQMwiHASgOMA4&iact=mrc&uact=8
Kilauea Volcano,Volcano,19.4,-155.2833333,https://en.wikipedia.org/wiki/K%C4%ABlauea,https://www.google.com/imgres?imgurl=https%3A%2F%2Fhips.hearstapps.com%2Fhmg-prod.s3.amazonaws.com%2Fimages%2Fhawaii-volcano-kilauea-1526073605.jpg%3Fcrop%3D0.99975xw%3A1xh%3Bcenter%2Ctop%26resize%3D480%3A*&imgrefurl=https%3A%2F%2Fwww.popularmechanics.com%2Fscience%2Fenvironment%2Fa20666474%2Fhawaii-volcano-kilauea-history-facts%2F&docid=wYBNXemckmb2JM&tbnid=u4kgW_oG0iGy9M%3A&vet=10ahUKEwjMq6iOk_rlAhWJ4J4KHfWGBKsQMwiGASgYMBg..i&w=480&h=320&bih=858&biw=1680&q=K%C4%ABlauea%20Volcano&ved=0ahUKEwjMq6iOk_rlAhWJ4J4KHfWGBKsQMwiGASgYMBg&iact=mrc&uact=8
Calakmul,Temple,18.105392,-89.810829,https://en.wikipedia.org/wiki/Calakmul,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.zonaturistica.com%2Ffiles%2Fatractivos%2F932%2FA1_932.jpg&imgrefurl=https%3A%2F%2Fwww.zonaturistica.com%2Fen%2Fthings-to-do-and-places-to-visit%2F932%2Fcalakmul-archaeological-site-xpujil.html&docid=3JFvfRFdSCHrkM&tbnid=J1tDVy7rH6xUSM%3A&vet=10ahUKEwiXpOTDk_rlAhVTrp4KHb1uBO4QMwiDASgNMA0..i&w=640&h=302&bih=858&biw=1680&q=Calakmul&ved=0ahUKEwiXpOTDk_rlAhVTrp4KHb1uBO4QMwiDASgNMA0&iact=mrc&uact=8
